outcome,outcome_unit,estimate,force_level_mvc,simulation_id,normal_value,dpn_value,dpn_minus_normal
firing_rate,pps,randomized_hdsemg,10,31,12.433333333333334,10.7,-1.7333333333333343
firing_rate,pps,randomized_hdsemg,10,32,11.716666666666665,11.3,-0.4166666666666643
firing_rate,pps,randomized_hdsemg,10,33,11.116666666666665,13.516666666666666,2.4000000000000004
firing_rate,pps,randomized_hdsemg,10,34,12.85,11.533333333333333,-1.3166666666666664
firing_rate,pps,randomized_hdsemg,10,35,12.866666666666665,12.416666666666668,-0.4499999999999975
firing_rate,pps,randomized_hdsemg,10,36,12.233333333333333,11.466666666666665,-0.7666666666666675
firing_rate,pps,randomized_hdsemg,10,37,12.033333333333333,12.016666666666667,-0.01666666666666572
firing_rate,pps,randomized_hdsemg,10,38,13.4,9.683333333333334,-3.716666666666667
firing_rate,pps,randomized_hdsemg,10,39,12.016666666666667,11.6,-0.41666666666666785
firing_rate,pps,randomized_hdsemg,10,40,12.333333333333332,10.583333333333332,-1.75
firing_rate,pps,randomized_hdsemg,10,41,11.233333333333333,10.549999999999999,-0.6833333333333336
firing_rate,pps,randomized_hdsemg,10,42,13.01666666666667,11.766666666666667,-1.2500000000000018
firing_rate,pps,randomized_hdsemg,10,43,11.883333333333333,11.916666666666668,0.03333333333333499
firing_rate,pps,randomized_hdsemg,10,44,11.366666666666665,12.133333333333333,0.7666666666666675
firing_rate,pps,randomized_hdsemg,10,45,11.85,11.95,0.09999999999999964
firing_rate,pps,randomized_hdsemg,10,46,11.983333333333333,10.7,-1.2833333333333332
firing_rate,pps,randomized_hdsemg,10,47,11.2,11.383333333333335,0.18333333333333535
firing_rate,pps,randomized_hdsemg,10,48,11.25,11.366666666666665,0.11666666666666536
firing_rate,pps,randomized_hdsemg,10,49,12.95,11.166666666666666,-1.7833333333333332
firing_rate,pps,randomized_hdsemg,20,0,12.133333333333333,11.033333333333335,-1.0999999999999979
firing_rate,pps,randomized_hdsemg,20,1,12.0,12.3,0.3000000000000007
firing_rate,pps,randomized_hdsemg,20,2,11.266666666666667,12.033333333333333,0.7666666666666657
firing_rate,pps,randomized_hdsemg,20,3,12.333333333333332,11.283333333333335,-1.0499999999999972
firing_rate,pps,randomized_hdsemg,20,4,12.616666666666667,12.933333333333334,0.31666666666666643
firing_rate,pps,randomized_hdsemg,20,5,12.75,11.73333333333333,-1.0166666666666693
firing_rate,pps,randomized_hdsemg,20,6,12.15,12.316666666666666,0.16666666666666607
firing_rate,pps,randomized_hdsemg,20,7,11.349999999999998,12.033333333333335,0.6833333333333371
firing_rate,pps,randomized_hdsemg,20,8,12.316666666666666,12.466666666666667,0.15000000000000036
firing_rate,pps,randomized_hdsemg,20,9,12.216666666666667,12.0,-0.21666666666666679
firing_rate,pps,randomized_hdsemg,20,10,12.616666666666665,11.799999999999999,-0.8166666666666664
firing_rate,pps,randomized_hdsemg,20,11,12.133333333333333,11.383333333333335,-0.7499999999999982
firing_rate,pps,randomized_hdsemg,20,12,12.166666666666668,12.549999999999999,0.3833333333333311
firing_rate,pps,randomized_hdsemg,20,13,11.766666666666666,12.249999999999998,0.4833333333333325
firing_rate,pps,randomized_hdsemg,20,14,11.966666666666667,10.483333333333333,-1.4833333333333343
firing_rate,pps,randomized_hdsemg,20,15,12.916666666666666,11.783333333333333,-1.1333333333333329
firing_rate,pps,randomized_hdsemg,20,16,12.23333333333333,12.0,-0.23333333333333073
firing_rate,pps,randomized_hdsemg,20,17,12.4,10.2,-2.200000000000001
firing_rate,pps,randomized_hdsemg,20,18,11.583333333333334,11.083333333333334,-0.5
firing_rate,pps,randomized_hdsemg,20,19,11.866666666666667,13.26666666666667,1.4000000000000021
firing_rate,pps,randomized_hdsemg,20,20,12.383333333333335,11.233333333333333,-1.1500000000000021
firing_rate,pps,randomized_hdsemg,20,21,11.45,12.433333333333334,0.9833333333333343
firing_rate,pps,randomized_hdsemg,20,22,13.35,10.7,-2.6500000000000004
firing_rate,pps,randomized_hdsemg,20,23,12.516666666666666,12.433333333333334,-0.08333333333333215
firing_rate,pps,randomized_hdsemg,20,24,12.5,11.749999999999998,-0.7500000000000018
